Id,Name,Type,Level,Race,Attribute,ATK,DEF
232,Crystron Phoenix,Synchro Monster,9,Machine,WATER,2800,2000
233,Graydle Impact,Spell Card,,Continuous,,,
234,Daigusto Phoenix,XYZ Monster,2,Pyro,WIND,1500,1100
235,Wattchimera,Synchro Monster,6,Thunder,LIGHT,1400,1200
236,Wall of Thorns,Trap Card,,Normal,,,
237,Majesty with Eyes of Blue,Spell Card,,Quick-Play,,,
238,Servant of Catabolism,Effect Monster,3,Aqua,LIGHT,700,500
239,PSY-Framegear Beta,Tuner Monster,1,Psychic,LIGHT,700,0
240,Flame Viper,Normal Monster,2,Pyro,EARTH,400,450
241,Rainbow Kuriboh,Effect Monster,1,Fiend,LIGHT,100,100
242,D. Tribe,Trap Card,,Normal,,,
243,Nimble Sunfish,Effect Monster,2,Fish,WATER,1000,100
244,Reflect Bounder,Effect Monster,4,Machine,LIGHT,1700,1000
245,Tribute Doll,Spell Card,,Normal,,,
246,Grappler,Normal Monster,4,Reptile,WATER,1300,1200
247,Karakuri Cash Shed,Trap Card,,Counter,,,
248,Curse of Royal,Trap Card,,Counter,,,
249,Gogogo Golem - Golden Form,Effect Monster,4,Rock,EARTH,0,1500
250,Naturia Barkion,Synchro Monster,6,Dragon,EARTH,2500,1800
251,Wicked Dragon with the Ersatz Head,Normal Monster,3,Dragon,WIND,900,900
252,Ryu-Ran,Normal Monster,7,Dragon,FIRE,2200,2600
253,Orion the Battle King,Normal Monster,5,Fairy,LIGHT,1800,1500
254,Consecrated Light,Effect Monster,1,Fairy,LIGHT,0,0
255,Twilight Rose Knight,Tuner Monster,3,Warrior,DARK,1000,1000
256,Cyberdark Keel,Effect Monster,4,Machine,DARK,800,800
257,Fake Trap,Trap Card,,Normal,,,
258,Test Ape,Effect Monster,2,Beast,EARTH,700,300
259,Trap of Board Eraser,Trap Card,,Counter,,,
260,Invader of the Throne,Flip Effect Monster,4,Warrior,EARTH,1350,1700
261,Superheavy Samurai Soulbang Cannon,Effect Monster,3,Machine,EARTH,1000,1000
262,Snow Dragon,Effect Monster,4,Dragon,WATER,1400,900
263,Return Zombie,Effect Monster,4,Zombie,DARK,1000,1600
264,Blackwing - Hillen the Tengu-wind,Tuner Monster,5,Winged Beast,DARK,0,2300
265,Yata-Garasu,Spirit Monster,2,Fiend,WIND,200,100
266,Brilliant Spark,Trap Card,,Normal,,,
267,Gem-Knight Seraphinite,Fusion Monster,5,Fairy,EARTH,2300,1400
268,Superheavy Samurai Big Benkei,Effect Monster,8,Machine,EARTH,1000,3500
269,Tiki Curse,Trap Card,,Continuous,,,
270,Flying Kamakiri 2,Normal Monster,4,Insect,WIND,1500,800
271,Level Limit - Area B,Spell Card,,Continuous,,,
272,Psychic Reactor,Trap Card,,Normal,,,
273,Tutan Mask,Trap Card,,Counter,,,
274,Exchange of Night and Day,Trap Card,,Continuous,,,
275,Puppet King,Effect Monster,7,Warrior,EARTH,2800,2600
276,Takuhee,Normal Monster,4,Winged Beast,WIND,1450,1000
277,Chain Dispel,Trap Card,,Normal,,,
278,Worm Solid,Effect Monster,4,Reptile,LIGHT,1000,1600
279,Forbidden Apocrypha,Trap Card,,Normal,,,
280,Shield Spear,Trap Card,,Normal,,,
281,Sixth Sense,Trap Card,,Normal,,,
282,Evoltile Lagosucho,Effect Monster,3,Reptile,FIRE,1200,500
283,The Phantom Knights' Rank-Up-Magic Launch,Spell Card,,Quick-Play,,,
284,Hieratic Dragon of Su,Effect Monster,6,Dragon,LIGHT,2200,1000
285,Alligator's Sword Dragon,Fusion Monster,5,Dragon,WIND,1700,1500
286,Cyber Phoenix,Effect Monster,4,Machine,FIRE,1200,1600
287,Gravekeeper's Priestess,Effect Monster,3,Spellcaster,DARK,1000,1500
288,Mozarta the Melodious Maestra,Effect Monster,8,Fairy,LIGHT,2600,2000
289,C-Crush Wyvern,Union Effect Monster,4,Machine,LIGHT,1200,2000
290,"Buster Blader, the Destruction Swordmaster",Effect Monster,7,Warrior,EARTH,2600,2300
291,Drill Warrior,Synchro Monster,6,Warrior,EARTH,2400,2000
292,Assault Beast,Effect Monster,4,Beast-Warrior,EARTH,1900,1200
293,Insect Armor with Laser Cannon,Spell Card,,Equip,,,
294,Dicephoon,Spell Card,,Quick-Play,,,
295,Don Turtle,Effect Monster,3,Reptile,WATER,1100,1200
296,Stealth Bird,Effect Monster,3,Winged Beast,DARK,700,1700
297,Coach Soldier Wolfbark,Effect Monster,4,Beast-Warrior,FIRE,1600,1200
298,Evilswarm Zahak,Effect Monster,4,Dragon,DARK,1850,850
299,Dice Jar,Flip Effect Monster,3,Rock,LIGHT,200,300
300,White Duston,Normal Monster,1,Fiend,LIGHT,0,1000
301,Swordsman of Landstar,Normal Monster,3,Warrior,EARTH,500,1200
302,Crystolic Potential,Spell Card,,Field,,,
303,Merlin,Effect Monster,3,Spellcaster,DARK,1400,500
304,Shreddder,Effect Monster,4,Machine,EARTH,1600,1000
305,One Who Hunts Souls,Normal Monster,4,Beast-Warrior,EARTH,1100,1000
306,Gagaga Girl,Effect Monster,3,Spellcaster,DARK,1000,800
307,Skull Guardian,Ritual Monster,7,Warrior,LIGHT,2050,2500
308,Cyber Angel Idaten,Ritual Effect Monster,6,Fairy,LIGHT,1600,2000
309,Elemental HERO Great Tornado,Fusion Monster,8,Warrior,WIND,2800,2200
310,The Legendary Fisherman,Effect Monster,5,Warrior,WATER,1850,1600
311,Ally of Justice Searcher,Effect Monster,3,Machine,DARK,1400,100
312,Cyber Valley,Effect Monster,1,Machine,LIGHT,0,0
313,Overload Fusion,Spell Card,,Normal,,,
314,Double Snare,Spell Card,,Normal,,,
315,Dark Cure,Trap Card,,Continuous,,,
316,Shaddoll Beast,Flip Effect Monster,5,Spellcaster,DARK,2200,1700
317,Water Element,Normal Monster,3,Aqua,WATER,900,700
318,Naturia Sacred Tree,Trap Card,,Continuous,,,
319,D.D. Scout Plane,Effect Monster,2,Machine,DARK,800,1200
320,Indiora Doom Volt the Cubic Emperor,Effect Monster,4,Fairy,LIGHT,0,0
321,Rampaging Rhynos,Effect Monster,3,Beast-Warrior,EARTH,1500,1500
322,Slot Machine,Normal Monster,7,Machine,DARK,2000,2300
323,Monk Fighter,Effect Monster,3,Rock,EARTH,1300,1000
324,Skypalace Gangaridai,XYZ Monster,10,Machine,WIND,3400,3000
325,Seven Tools of the Bandit,Trap Card,,Counter,,,
326,Gravekeeper's Visionary,Effect Monster,8,Spellcaster,DARK,2000,1800
327,Fluffal Bear,Effect Monster,3,Fairy,EARTH,1200,800
328,TGX3-DX2,Trap Card,,Normal,,,
329,Psychic Tuning,Trap Card,,Continuous,,,
330,Super Vehicroid - Stealth Union,Fusion Monster,9,Machine,EARTH,3600,3000
331,Absorbing Jar,Flip Effect Monster,3,Rock,EARTH,600,500
332,The Tripper Mercury,Effect Monster,8,Aqua,WATER,2000,2000
333,Magical Reflect Slime,Gemini Monster,3,Aqua,WATER,700,1200
334,Felgrand Dragon,Effect Monster,8,Dragon,LIGHT,2800,2800
335,Flower Cardian Boardefly,Synchro Monster,6,Warrior,DARK,2000,2000
336,Greed Grado,Spell Card,,Quick-Play,,,
337,Lucky Trinket,Normal Monster,2,Spellcaster,LIGHT,600,800
338,Lavalval Ignis,XYZ Monster,3,Warrior,FIRE,1800,1400
339,Hieratic Dragon of Eset,Effect Monster,5,Dragon,LIGHT,1900,1200
340,Change of Heart,Spell Card,,Normal,,,
341,Shapesnatch,Normal Monster,5,Machine,DARK,1200,1700
342,Ninja Grandmaster Sasuke,Effect Monster,4,Warrior,LIGHT,1800,1000
343,Island Turtle,Normal Monster,4,Aqua,WATER,1100,2000
344,Evilswarm Salamandra,Effect Monster,4,Dinosaur,DARK,1850,950
345,Zombie World,Spell Card,,Field,,,
346,Blackwing - Aurora the Northern Lights,Effect Monster,10,Winged Beast,LIGHT,0,0
347,The Second Sarcophagus,Spell Card,,Continuous,,,
348,Performage Stilts Launcher,Effect Monster,6,Spellcaster,EARTH,2200,0
349,Chaos Infinity,Trap Card,,Normal,,,
350,G.B. Hunter,Effect Monster,4,Warrior,EARTH,1200,2000
351,Djinn Prognosticator of Rituals,Effect Monster,3,Fiend,DARK,400,300
352,Zoodiac Ramram,Effect Monster,4,Beast-Warrior,EARTH,400,2000
353,Goblin Fan,Trap Card,,Continuous,,,
354,Cyber Laser Dragon,Effect Monster,7,Machine,LIGHT,2400,1800
355,Cards for Black Feathers,Spell Card,,Normal,,,
356,Raigeki Break,Trap Card,,Normal,,,
357,Ancient Pixie Dragon,Synchro Monster,7,Dragon,DARK,2100,3000
358,Queen of Autumn Leaves,Normal Monster,5,Plant,EARTH,1800,1500
359,"Eco, Mystical Spirit of the Forest",Effect Monster,4,Plant,EARTH,1700,1000
360,Trap Hole,Trap Card,,Normal,,,
361,Shrine of Mist Valley,Spell Card,,Field,,,
362,Mistaken Arrest,Spell Card,,Quick-Play,,,
363,Psi-Station,Spell Card,,Continuous,,,
364,Performapal Turn Toad,Pendulum Effect Monster,2,Aqua,WATER,0,800
365,Mermaid Archer,Effect Monster,3,Sea Serpent,WATER,1200,200
366,Gladiator Beast Hoplomus,Effect Monster,4,Rock,EARTH,700,2100
367,Spell Economics,Spell Card,,Continuous,,,
368,Kiseitai,Effect Monster,2,Fiend,DARK,300,800
369,Splendid Rose,Synchro Monster,6,Plant,WIND,2200,2000
370,Shiranui Style Swallow's Slash,Trap Card,,Normal,,,
371,Scrap Recycler,Effect Monster,3,Machine,EARTH,900,1200
372,"Sophia, Goddess of Rebirth",Effect Monster,11,Fairy,DARK,3600,3400
373,Newdoria,Effect Monster,4,Fiend,DARK,1200,800
374,Chronomaly City Babylon,Spell Card,,Field,,,
375,Zoodiac Bunnyblast,Effect Monster,4,Beast-Warrior,EARTH,800,800
376,Familiar-Possessed - Hiita,Effect Monster,4,Spellcaster,FIRE,1850,1500
377,Leo Wizard,Normal Monster,5,Spellcaster,EARTH,1350,1200
378,The Dragon Dwelling in the Deep,Effect Monster,4,Sea Serpent,WATER,1700,1400
379,Mecha Phantom Beast Blackfalcon,Effect Monster,4,Machine,WIND,1200,1700
380,M-X-Saber Invoker,XYZ Monster,3,Warrior,EARTH,1600,500
381,Drastic Drop Off,Trap Card,,Counter,,,
382,Ancient Gear Explosive,Spell Card,,Normal,,,
383,Qlimate Change,Trap Card,,Normal,,,
384,Venom Burn,Trap Card,,Normal,,,
385,SPYRAL GEAR - Drone,Effect Monster,1,Machine,WIND,100,100
386,Prepare to Strike Back,Trap Card,,Continuous,,,
387,Yellow Luster Shield,Spell Card,,Continuous,,,
388,Meklord Emperor Granel,Effect Monster,1,Machine,EARTH,0,0
389,Xyz Territory,Spell Card,,Field,,,
390,Battlin' Boxer Counterpunch,Effect Monster,3,Warrior,FIRE,0,1100
391,Roaring Earth,Trap Card,,Continuous,,,
392,Lion Alligator,Effect Monster,4,Reptile,WATER,1900,200
393,Dark Energy,Spell Card,,Equip,,,
394,Imperion Magnum the Superconductive Battlebot,Fusion Monster,10,Rock,EARTH,4000,4000
395,Tyrant's Temper,Trap Card,,Continuous,,,
396,Card Guard,Effect Monster,4,Fiend,DARK,1600,500
397,Lightray Gearfried,Effect Monster,8,Warrior,LIGHT,2800,2200
398,Molten Zombie,Effect Monster,4,Pyro,FIRE,1600,400
399,Magnetic Field,Spell Card,,Field,,,
400,Evilswarm Kerykeion,Effect Monster,4,Spellcaster,DARK,1600,1550
401,Yubel - Terror Incarnate,Effect Monster,11,Fiend,DARK,0,0
402,"Michael, the Arch-Lightsworn",Synchro Monster,7,Dragon,LIGHT,2600,2000
403,Superheavy Samurai Soulfire Suit,Effect Monster,2,Machine,FIRE,800,800
404,Chimera the Flying Mythical Beast,Fusion Monster,6,Beast,WIND,2100,1800
405,Performage Flame Eater,Effect Monster,4,Spellcaster,FIRE,1200,1600
406,"Sauravis, the Ancient and Ascended",Ritual Effect Monster,7,Dragon,LIGHT,2600,2800
407,Constellar Tempest,Spell Card,,Continuous,,,
408,Performance of Sword,Ritual Monster,6,Warrior,EARTH,1950,1850
409,Omega Goggles,Spell Card,,Equip,,,
410,Call of the Mummy,Spell Card,,Continuous,,,
411,Judgment of the Desert,Trap Card,,Continuous,,,
412,Spirit of the Pot of Greed,Effect Monster,1,Fairy,LIGHT,100,100
413,Shaddoll Core,Trap Card,,Continuous,,,
414,Genex Undine,Effect Monster,3,Aqua,WATER,1200,600
415,Necro Gardna,Effect Monster,3,Warrior,DARK,600,1300
